Movie,Year,IMDb,Rating,Runtime,Genre,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Spy Hard,1996,5.4,PG-13,81,"Action, Comedy","May 24, 1996",18000000,26936265,26936265
The New Guy,2002,5.9,PG-13,88,Comedy,"May 10, 2002",13000000,28972187,28972187
The Insider,1999,7.8,R,157,"Biography, Drama, Thriller","Nov 5, 1999",68000000,28965197,60265197
The Watcher,2000,5.3,R,97,"Crime, Drama, Mystery","Sep 8, 2000",33000000,28946615,47267829
"Girl, Interrupted",1999,7.3,R,127,"Biography, Drama","Dec 21, 1999",24000000,28871190,28871190
Zoolander 2,2016,4.7,PG-13,101,"Action, Adventure, Comedy","Feb 5, 2016",50000000,28848693,55348693
The Five-Year Engagement,2012,6.2,R,124,"Comedy, Romance","Apr 27, 2012",30000000,28700285,61623819
Draft Day,2014,6.8,PG-13,110,"Drama, Sport","Apr 11, 2014",25000000,28842237,29847480
Kick-Ass 2,2013,6.5,R,103,"Action, Comedy, Crime","Aug 16, 2013",28000000,28795985,63129909
Point Break,2015,5.3,PG-13,114,"Action, Crime, Sport","Dec 2, 2015",100000000,28782481,126704591
Capote,2005,7.3,R,114,"Biography, Crime, Drama","Sep 30, 2005",7000000,28750530,49924079
Baby Boy,2001,6.4,R,130,"Crime, Drama, Romance","Jun 27, 2001",16000000,28734552,28734552
Untraceable,2008,6.2,R,101,"Crime, Mystery, Thriller","Jan 25, 2008",35000000,28687835,52649951
28 Weeks Later,2007,7.0,R,100,"Horror, Sci-Fi","May 11, 2007",15000000,28638916,64232714
Swimfan,2002,5.1,PG-13,85,"Drama, Thriller","Sep 6, 2002",10000000,28564995,34084228
We Own the Night,2007,6.8,R,117,"Crime, Drama, Thriller","Oct 12, 2007",28000000,28563179,55307857
The Out-of-Towners,1999,5.5,PG-13,90,Comedy,"Apr 2, 1999",40000000,28544120,28544120
Brothers,2009,7.1,R,105,"Action, Drama, Thriller","Dec 4, 2009",26000000,28544157,45043870
Child's Play 2,1990,5.8,R,84,"Horror, Thriller","Nov 9, 1990",13000000,26904572,34166572
Employee of the Month,2006,5.5,PG-13,103,"Comedy, Romance","Oct 6, 2006",10000000,28444855,38364855
Garfield: A Tail of Two Kitties,2006,5.0,PG,82,"Animation, Adventure, Comedy","Jun 16, 2006",60000000,28426747,147985373
The Crocodile Hunter: Collision Course,2002,5.3,PG,90,"Action, Adventure, Comedy","Jul 12, 2002",12500000,28436931,33436931
The Nut Job 2: Nutty by Nature,2017,5.4,PG,91,"Animation, Adventure, Comedy","Aug 11, 2017",40000000,28370522,57438389
A Man for All Seasons,1966,7.7,G,120,"Biography, Drama, History","Dec 12, 1966",3900000,28350000,28350000
The Shawshank Redemption,1994,9.3,R,142,Drama,"Sep 23, 1994",25000000,28241469,28417060
After the Sunset,2004,6.3,PG-13,97,"Action, Comedy, Crime","Nov 12, 2004",57000000,28328132,38329114
Taxi Driver,1976,8.3,R,114,"Crime, Drama","Feb 8, 1976",1900000,28262574,28316211
Doom,2005,5.2,R,105,"Action, Horror, Sci-Fi","Oct 21, 2005",70000000,28212337,58757178
"20,000 Leagues Under the Sea",1954,7.2,G,127,"Adventure, Drama, Family","Dec 23, 1954",5000000,28200000,28200000
The Ant Bully,2006,5.8,PG,88,"Animation, Adventure, Comedy","Jul 28, 2006",45000000,28142535,49610898
Abduction,2011,5.1,PG-13,106,"Action, Mystery, Thriller","Sep 23, 2011",35000000,28087155,86648359
Johnny English,2003,6.2,PG,87,"Action, Adventure, Comedy","Apr 11, 2003",45000000,28013509,161735791
Happy Death Day 2U,2019,6.2,PG-13,100,"Comedy, Horror, Mystery","Feb 13, 2019",9000000,28148130,64686515
Grosse Pointe Blank,1997,7.3,R,107,"Action, Comedy, Crime","Apr 11, 1997",15000000,28084357,31070412
Loaded Weapon 1,1993,6.2,PG-13,84,"Action, Comedy, Crime","Feb 5, 1993",13000000,27979399,27979399
Menace II Society,1993,7.5,R,97,"Crime, Drama, Thriller","May 26, 1993",3500000,27731527,27731527
Beastly,2011,5.6,PG-13,86,"Drama, Fantasy, Romance","Mar 4, 2011",17000000,27865571,38028230
Moonlight,2016,7.4,R,111,Drama,"Oct 21, 2016",1500000,27854931,65245512
Crank,2006,6.9,R,88,"Action, Crime, Thriller","Sep 1, 2006",12000000,27838408,43924923
The Majestic,2001,6.9,PG,152,"Drama, Romance","Dec 21, 2001",72000000,27796042,37306334
Logan Lucky,2017,7.0,PG-13,118,"Comedy, Crime, Drama","Aug 18, 2017",29000000,27778642,44264271
Rings,2017,4.5,PG-13,102,"Drama, Horror, Mystery","Feb 3, 2017",25000000,27793018,82917283
The Switch,2010,6.1,PG-13,101,"Comedy, Drama, Romance","Aug 20, 2010",19000000,27758465,49858465
Sinister 2,2015,5.3,R,97,"Horror, Mystery, Thriller","Aug 19, 2015",10000000,27740955,54104225
Saw VI,2009,6.0,R,90,"Horror, Mystery","Oct 23, 2009",11000000,27693292,69752402
Hannibal Rising,2007,6.2,R,121,"Adventure, Crime, Drama","Feb 9, 2007",50000000,27669725,80583311
The Island of Dr. Moreau,1996,4.6,PG-13,96,"Horror, Sci-Fi, Thriller","Aug 23, 1996",40000000,27682712,27682712
The Finest Hours,2016,6.8,PG-13,117,"Action, Drama, History","Jan 27, 2016",70000000,27569558,49252761
Do the Right Thing,1989,7.9,R,120,"Comedy, Drama","Jun 30, 1989",6000000,26004026,26051619
Poetic Justice,1993,6.1,R,109,"Drama, Romance","Jul 23, 1993",14000000,27450453,27450453
Friday,1995,7.3,R,91,"Comedy, Drama","Apr 26, 1995",3500000,27467564,27936778
Florence Foster Jenkins,2016,6.8,PG-13,111,"Biography, Comedy, Drama","Apr 29, 2016",29000000,27383770,56000339
The Last Witch Hunter,2015,6.0,PG-13,106,"Action, Adventure, Fantasy","Oct 21, 2015",80000000,27367660,130818912
Brown Sugar,2002,6.5,PG-13,109,"Romance, Comedy, Drama","Oct 11, 2002",8000000,27362712,28315272
Someone Like You,2001,6.1,PG-13,97,"Comedy, Romance","Mar 30, 2001",23000000,27338033,38684906
Midsommar,2019,7.1,R,148,"Drama, Horror, Mystery","Jul 3, 2019",9000000,27426363,46843430
Dallas Buyers Club,2013,8.0,R,117,"Biography, Drama","Nov 1, 2013",5000000,27298285,60611845
No Escape,2015,6.8,R,103,"Action, Thriller","Aug 26, 2015",5000000,27288872,42844516
The Muppet Christmas Carol,1992,7.7,G,85,"Comedy, Drama, Family","Dec 11, 1992",12000000,27281507,27722446
High Fidelity,2000,7.5,R,113,"Comedy, Drama, Music","Mar 31, 2000",20000000,27277055,47881663
A Passage to India,1984,7.3,PG,164,"Adventure, Drama, History","Dec 14, 1984",27500000,27187653,27187653
Baby Geniuses,1999,2.6,PG,97,"Comedy, Crime, Family","Mar 12, 1999",13000000,27151490,27151490
Cloud Atlas,2012,7.4,R,172,"Action, Drama, Mystery","Oct 26, 2012",102000000,27108272,130673154
Fast Times at Ridgemont High,1982,7.2,R,90,"Comedy, Drama","Aug 13, 1982",4500000,27092880,27092880
Joe Dirt,2001,6.0,PG-13,91,"Adventure, Comedy, Drama","Apr 11, 2001",16000000,27087695,30987695
The Musketeer,2001,4.9,PG-13,104,"Action, Adventure, Romance","Sep 7, 2001",40000000,27053815,27053815
The Story of Us,1999,6.0,R,95,"Comedy, Drama, Romance","Oct 15, 1999",50000000,27100030,27100030
The Big Hit,1998,6.1,R,91,"Action, Comedy, Crime","Apr 24, 1998",13000000,27066941,27066941
Home Again,2017,5.8,PG-13,97,"Comedy, Drama, Romance","Sep 8, 2017",15000000,27020284,37336874
Rush,2013,8.1,R,123,"Biography, Drama, Sport","Sep 20, 2013",38000000,26947624,98230839
The Women,2008,5.0,PG-13,114,"Comedy, Drama","Sep 12, 2008",16000000,26902075,50103808
The Missing,2003,6.5,R,137,"Adventure, Thriller, Western","Nov 26, 2003",65000000,26900336,38253433
One Missed Call,2008,4.0,PG-13,87,"Horror, Mystery","Jan 4, 2008",20000000,26890041,44513466
Stick It,2006,6.4,PG-13,103,"Comedy, Drama, Sport","Apr 28, 2006",20000000,26910736,30399714
Hell or High Water,2016,7.6,R,102,"Action, Crime, Drama","Aug 12, 2016",12000000,27007844,37584304
Elizabethtown,2005,6.4,PG-13,123,"Comedy, Drama, Romance","Oct 14, 2005",54000000,26850426,50719373
Resident Evil: The Final Chapter,2016,5.5,R,107,"Action, Horror, Sci-Fi","Dec 23, 2016",40000000,26844692,314101190
Glory,1989,7.8,R,122,"Biography, Drama, History","Dec 13, 1989",18000000,26828365,26828365
Ricki and the Flash,2015,5.9,PG-13,101,"Comedy, Drama, Music","Aug 7, 2015",18000000,26839498,41166033
The Other Boleyn Girl,2008,6.7,PG-13,115,"Biography, Drama, History","Feb 29, 2008",40000000,26814957,78269970
Zombieland: Double Tap,2019,6.7,R,99,"Action, Adventure, Comedy","Oct 9, 2019",48000000,73118130,122266018
Eye for an Eye,1996,6.2,R,101,"Crime, Drama, Thriller","Jan 12, 1996",20000000,26792700,26792700
Garden State,2004,7.4,R,102,"Comedy, Drama, Romance","Jul 28, 2004",2500000,26782316,36028802
The Best of Me,2014,6.7,PG-13,118,"Drama, Romance","Oct 17, 2014",26000000,26766213,41059418
Ready or Not,2019,6.8,R,95,"Comedy, Horror, Mystery","Aug 21, 2019",6000000,28714231,56797392
Winnie the Pooh,2011,7.2,G,63,"Animation, Adventure, Comedy","Apr 15, 2011",30000000,26692846,50145607
Event Horizon,1997,6.7,R,96,"Horror, Sci-Fi, Thriller","Aug 15, 1997",60000000,26673242,26673242
Superhero Movie,2008,4.5,PG-13,75,"Action, Comedy, Sci-Fi","Mar 28, 2008",35000000,26638520,73026302
The Host,2013,5.9,PG-13,125,"Action, Adventure, Drama","Mar 22, 2013",50000000,26623701,64477051
Machete,2010,6.6,R,105,"Action, Crime, Thriller","Sep 3, 2010",12500000,26593646,46370970
The Forest,2016,4.8,PG-13,93,"Horror, Mystery, Thriller","Jan 7, 2016",10000000,26594261,40749230
Harriet the Spy,1996,5.9,PG,100,"Comedy, Drama, Family","Jul 10, 1996",13000000,26570048,26570048
Basic,2003,6.5,R,98,"Action, Crime, Drama","Mar 28, 2003",50000000,26599248,42598498
Bulworth,1998,6.8,R,108,"Comedy, Drama, Romance","May 15, 1998",30000000,26528684,29203383
Blast from the Past,1999,6.6,PG-13,112,"Comedy, Drama, Romance","Feb 12, 1999",35000000,26613620,26613620
Sinbad: Legend of the Seven Seas,2003,6.7,PG,86,"Animation, Adventure, Family","Jul 2, 2003",60000000,26483452,80767884
Run All Night,2015,6.6,R,114,"Action, Crime, Drama","Mar 11, 2015",50000000,26461644,66961644
Book of Shadows: Blair Witch 2,2000,3.9,R,90,"Adventure, Fantasy, Horror","Oct 27, 2000",15000000,26421314,47721314
Street Kings,2008,6.8,R,109,"Action, Crime, Drama","Apr 11, 2008",20000000,26418667,65457811
One for the Money,2012,5.3,PG-13,91,"Action, Comedy, Crime","Jan 27, 2012",42000000,26414527,36197221
Ben-Hur,2016,5.7,PG-13,123,"Action, Adventure, Drama","Jun 30, 2016",95000000,26410477,91669648
Boogie Nights,1997,7.9,R,155,Drama,"Oct 10, 1997",15000000,26410771,43111725
A Walk Among the Tombstones,2014,6.5,R,114,"Action, Crime, Drama","Sep 19, 2014",28000000,26017685,62108587
Love the Coopers,2015,5.8,PG-13,107,"Comedy, Fantasy, Romance","Nov 12, 2015",18000000,26302731,44263413
Dumb and Dumberer: When Harry Met Lloyd,2003,3.4,PG-13,85,Comedy,"Jun 13, 2003",30000000,26214846,28986358
The Wrestler,2008,7.9,R,109,"Drama, Sport","Dec 17, 2008",6000000,26238243,46634275
Blood Work,2002,6.4,R,110,"Action, Crime, Drama","Aug 9, 2002",50000000,26199517,26199517
A Man Apart,2003,6.1,R,109,"Action, Crime, Drama","Apr 4, 2003",36000000,26500000,43797731
Ramona and Beezus,2010,6.5,G,103,"Comedy, Drama, Family","Jul 23, 2010",15000000,26167002,27469621
That Awkward Moment,2014,6.1,R,94,"Comedy, Romance","Jan 31, 2014",8000000,26068955,53068955
Searching,2018,7.6,PG-13,102,"Drama, Mystery, Thriller","Aug 23, 2018",880000,26015149,76090613
The World's End,2013,7.0,R,109,"Action, Comedy, Sci-Fi","Aug 23, 2013",20000000,26004851,47508505
Howards End,1992,7.4,PG,142,"Drama, Romance","Mar 13, 1992",8000000,26124872,26317849
The Cotton Club,1984,6.5,R,127,"Crime, Drama, Music","Dec 14, 1984",48000000,25928721,25928721
Shutter,2008,5.2,PG-13,85,"Horror, Mystery, Thriller","Mar 21, 2008",8000000,25928550,47782426
Leap Year,2010,6.5,PG,100,"Comedy, Romance","Jan 8, 2010",19000000,25918920,32618920
Alex Cross,2012,5.1,PG-13,101,"Action, Crime, Mystery","Oct 17, 2012",35000000,25888412,35426759
Frida,2002,7.4,R,123,"Biography, Drama, Romance","Oct 25, 2002",12000000,25885000,56131239
Shadowlands,1993,7.3,PG,131,"Biography, Drama, Romance","Dec 29, 1993",22000000,25842377,25842377
That Thing You Do!,1996,6.9,PG,108,"Comedy, Drama, Music","Oct 4, 1996",2500000,25857416,34557416
The Lazarus Effect,2015,5.2,PG-13,83,"Horror, Mystery, Sci-Fi","Feb 26, 2015",5000000,25801570,38359310
The Last Dragon,1985,6.9,PG-13,109,"Action, Comedy, Drama","Mar 22, 1985",10000000,33000000,33000000
From Dusk Till Dawn,1996,7.2,R,108,"Action, Crime, Horror","Jan 19, 1996",20000000,25728961,25732986
You Again,2010,5.8,PG,105,"Comedy, Romance","Sep 24, 2010",20000000,25702053,32838945
Crocodile Dundee in Los Angeles,2001,4.8,PG,92,"Action, Adventure, Comedy","Apr 20, 2001",25000000,25590119,39393111
Desperado,1995,7.2,R,104,"Action, Crime, Thriller","Aug 25, 1995",7000000,25532388,25532388
Dance Flick,2009,3.5,PG-13,83,"Action, Comedy, Music","May 22, 2009",25000000,25794018,32224624
Nancy Drew,2007,5.9,PG,99,"Comedy, Crime, Family","Jun 15, 2007",20000000,25584685,30703845
The Outsiders,1983,7.1,PG,91,"Crime, Drama","Mar 25, 1983",10000000,25697647,25697647
The Mist,2007,7.1,R,126,"Horror, Sci-Fi, Thriller","Nov 21, 2007",13000000,25593755,57189408
Captain Corelli's Mandolin,2001,5.9,R,131,"Drama, Music, Romance","Aug 17, 2001",57000000,25528495,62097495
W.,2008,6.3,PG-13,129,"Biography, Comedy, Drama","Oct 17, 2008",25100000,25534493,28575778
Halloween II,1981,6.5,R,92,Horror,"Oct 30, 1981",2500000,25533818,25533818
Serenity,2005,7.8,PG-13,119,"Action, Adventure, Sci-Fi","Sep 30, 2005",39000000,25514517,40319440
A Nightmare on Elm Street,1984,7.5,R,91,Horror,"Nov 9, 1984",1800000,25504513,25504513
The Art of Racing in the Rain,2019,7.5,PG,109,"Comedy, Drama, Romance","Aug 9, 2019",18000000,26402818,30997027
All About the Benjamins,2002,5.9,R,95,"Action, Comedy, Crime","Mar 8, 2002",14000000,25482931,25873145
The House,2017,5.6,R,88,"Comedy, Crime","Jun 30, 2017",40000000,25584504,31192425
Escape from L.A.,1996,5.8,R,101,"Action, Adventure, Sci-Fi","Aug 9, 1996",50000000,25426861,25426861
Dark Water,2005,5.6,PG-13,105,"Drama, Horror, Mystery","Jul 8, 2005",60000000,25473093,49473093
The Fourth Kind,2009,5.9,PG-13,98,"Horror, Mystery, Sci-Fi","Nov 6, 2009",10000000,26218170,49486874
The International,2009,6.5,R,118,"Action, Crime, Drama","Feb 13, 2009",50000000,25450527,53850527
Boyhood,2014,7.9,R,165,Drama,"Jun 5, 2014",4000000,25379975,57273049
Can't Hardly Wait,1998,6.5,PG-13,100,"Comedy, Romance","Jun 12, 1998",10000000,25358996,25358996
The Transporter,2002,6.8,PG-13,92,"Action, Crime, Thriller","Oct 11, 2002",21000000,25296447,43928932
Sweet November,2001,6.7,PG-13,119,"Drama, Romance","Feb 16, 2001",40000000,25288103,65754228
Top Five,2014,6.4,R,102,"Comedy, Romance","Dec 12, 2014",12000000,25317379,26001741
Jersey Girl,2004,6.2,PG-13,102,"Comedy, Drama, Romance","Mar 26, 2004",35000000,25266129,37066129
Escape from New York,1981,7.2,R,99,"Action, Adventure, Sci-Fi","Jul 10, 1981",6000000,25244700,25245925
Aliens in the Attic,2009,5.4,PG,86,"Adventure, Comedy, Family","Jul 31, 2009",45000000,25200412,59551283
Twisted,2004,5.3,R,97,"Crime, Drama, Mystery","Feb 27, 2004",50000000,25195050,40119848
Nurse Betty,2000,6.1,R,110,"Comedy, Crime, Drama","Sep 8, 2000",24000000,25170054,27732366
Escape Plan,2013,6.7,R,115,"Action, Thriller","Oct 10, 2013",70000000,25135965,103735965
Killer Elite,2011,6.4,R,116,"Action, Thriller","Sep 23, 2011",70000000,25124986,65409046
The Reaping,2007,5.6,R,99,"Horror, Thriller","Apr 5, 2007",40000000,25126214,62226214
All the Money in the World,2017,6.8,R,132,"Biography, Crime, Drama","Dec 25, 2017",50000000,25106325,56890649
Winchester,2018,5.4,PG-13,99,"Biography, Drama, Fantasy","Feb 2, 2018",3500000,25091816,45960255
Midnight in the Garden of Good and Evil,1997,6.6,R,155,"Crime, Drama, Mystery","Nov 21, 1997",35000000,25078937,25078937
Wyatt Earp,1994,6.7,PG-13,191,"Adventure, Biography, Crime","Jun 24, 1994",63000000,25052000,25052000
The Wood,1999,7.0,R,106,"Comedy, Drama, Romance","Jul 16, 1999",6000000,25059640,25059640
Grindhouse,2007,7.5,R,191,"Action, Horror, Thriller","Apr 6, 2007",53000000,25031037,50187789
In the Heart of the Sea,2015,6.9,PG-13,122,"Action, Adventure, Biography","Nov 26, 2015",100000000,25020758,89693309
Piranha 3D,2010,5.4,R,88,"Comedy, Horror","Aug 20, 2010",24000000,25003155,83660160
Logan's Run,1976,6.8,PG,119,"Action, Sci-Fi",1976,7000000,25000000,25000000
The November Man,2014,6.3,R,108,"Action, Thriller","Aug 27, 2014",15000000,25018119,34820335
Kingpin,1996,6.9,PG-13,114,"Comedy, Sport","Jul 26, 1996",25000000,25023424,32223424
Catch-22,1970,7.1,R,122,"Comedy, Drama, War","Jun 24, 1970",18000000,24911670,24911670
The Craft,1996,6.4,R,101,"Drama, Fantasy, Horror","May 3, 1996",15000000,24769466,55669466
Never Back Down,2008,6.6,PG-13,113,"Action, Drama, Sport","Mar 14, 2008",21000000,24850922,39319801
Season of the Witch,2011,5.4,PG-13,95,"Action, Adventure, Fantasy","Jan 7, 2011",40000000,24827228,91126600
Our Idiot Brother,2011,6.4,R,90,"Comedy, Drama","Aug 26, 2011",5000000,24814830,25861249
Gifted,2017,7.6,PG-13,101,Drama,"Apr 7, 2017",7000000,24801212,36964656
Waking Ned Devine,1998,7.3,PG,91,Comedy,"Nov 20, 1998",3000000,24793251,55193251
"Sex, Lies, and Videotape",1989,7.2,R,100,Drama,"Aug 4, 1989",1200000,24741667,36741667
The Sweetest Thing,2002,5.2,R,84,"Comedy, Romance","Apr 12, 2002",43000000,24430272,63078756
Lottery Ticket,2010,5.0,PG-13,99,Comedy,"Aug 20, 2010",17000000,24719879,24719879
Air Bud,1997,5.2,PG,98,"Comedy, Drama, Family","Aug 1, 1997",3000000,24646936,27788649
On the Basis of Sex,2018,7.0,PG-13,120,"Biography, Drama","Nov 23, 2018",20000000,24622687,38801294
Fargo,1996,8.1,R,98,"Crime, Drama, Thriller","Mar 8, 1996",7000000,24567751,51204567
Don Jon,2013,6.5,R,90,"Comedy, Drama, Romance","Sep 27, 2013",5500000,24477704,41268579
Sling Blade,1996,8.0,R,135,Drama,"Nov 20, 1996",4833610,24475416,34175000
Downsizing,2017,5.7,R,135,"Drama, Sci-Fi","Dec 22, 2017",68000000,24449754,54462971
The Strangers: Prey at Night,2018,5.2,R,85,Horror,"Mar 9, 2018",5000000,24431472,32144262
Elektra,2005,4.7,PG-13,97,"Action, Adventure, Crime","Jan 14, 2005",65000000,24409722,56824633
15 Minutes,2001,6.1,R,120,"Action, Crime, Drama","Mar 9, 2001",42000000,24375436,56331864
Sparkle,2012,5.7,PG-13,116,"Drama, Music","Aug 17, 2012",10000000,24397469,24660323
Ice Princess,2005,6.0,G,98,"Comedy, Drama, Family","Mar 18, 2005",25000000,24381334,25732334
In the Heat of the Night,1967,7.9,Not Rated,110,"Crime, Drama, Mystery","Aug 2, 1967",2000000,24379978,24407647
Arlington Road,1999,7.2,R,117,"Crime, Drama, Thriller","Jul 9, 1999",21500000,24419219,24419219
Across the Universe,2007,7.3,PG-13,133,"Drama, Fantasy, History","Sep 14, 2007",45000000,24343673,29367143
Renaissance Man,1994,6.2,PG-13,128,"Comedy, Drama","Jun 3, 1994",40000000,24172899,24172899
Hoffa,1992,6.6,R,140,"Biography, Crime, Drama","Dec 25, 1992",35000000,23365858,28391473
The Spy Next Door,2010,5.4,PG,94,"Action, Comedy, Family","Jan 15, 2010",28000000,24307106,46752858
Hearts in Atlantis,2001,6.9,PG-13,101,"Drama, Mystery","Sep 28, 2001",31000000,24185781,30885781
Lord of War,2005,7.6,R,122,"Action, Crime, Drama","Sep 16, 2005",42000000,24149632,60437727
Tinker Tailor Soldier Spy,2011,7.1,R,122,"Drama, Mystery, Thriller","Dec 9, 2011",21000000,24149393,81452811
Clerks II,2006,7.3,R,97,Comedy,"Jul 21, 2006",5000000,24148068,27342246
The Adventures of Huck Finn,1993,6.2,PG,108,"Adventure, Comedy, Drama","Apr 2, 1993",6500000,24103594,24103594
Virtuosity,1995,5.6,R,106,"Action, Crime, Sci-Fi","Aug 4, 1995",30000000,23998226,23998226
Angel Eyes,2001,5.6,R,102,"Drama, Romance","May 18, 2001",38000000,24044532,29544532
White Boy Rick,2018,6.4,R,111,"Crime, Drama","Sep 14, 2018",30000000,24004833,25947983
Around the World in 80 Days,2004,5.9,PG,120,"Action, Adventure, Comedy","Jun 16, 2004",110000000,24004159,72004159
The Life Aquatic with Steve Zissou,2004,7.3,R,119,"Action, Adventure, Comedy","Dec 10, 2004",50000000,24006726,34806726
Nine,2009,5.8,PG-13,118,"Drama, Musical, Romance","Dec 18, 2009",80000000,19676965,56984219
Observe and Report,2009,5.8,R,86,"Comedy, Crime, Drama","Apr 10, 2009",18000000,24007324,27148898
Corky Romano,2001,4.7,PG-13,86,"Comedy, Crime","Oct 12, 2001",11000000,23978402,25116103
House of Wax,1953,7.1,GP,88,Horror,"Apr 10, 1953",658000,23800000,23800000
The Best Years of Our Lives,1946,8.0,Approved,170,"Drama, Romance, War","Nov 21, 1946",2100000,23600000,23600000
Hot Fuzz,2007,7.8,R,121,"Action, Comedy, Mystery","Apr 20, 2007",16000000,23618786,81742618
The Losers,2010,6.3,PG-13,97,"Action, Adventure, Crime","Apr 23, 2010",25000000,23591432,29863840
Hotel Rwanda,2004,8.1,PG-13,121,"Biography, Drama, History","Dec 22, 2004",17500000,23519128,36521223
Traitor,2008,7.0,PG-13,114,"Action, Crime, Drama","Aug 27, 2008",22000000,23530831,27882226
Endless Love,2014,6.3,PG-13,104,"Drama, Romance","Feb 14, 2014",20000000,23438250,34718173
Raging Bull,1980,8.2,R,129,"Biography, Drama, Sport","Nov 14, 1980",18000000,23380203,23380203
Reindeer Games,2000,5.8,R,104,"Action, Adventure, Crime","Feb 25, 2000",36000000,23360779,23360779
The Usual Suspects,1995,8.5,R,106,"Crime, Mystery, Thriller","Aug 16, 1995",6000000,23341568,34449356
The Avengers,1998,3.8,PG-13,89,"Action, Adventure, Sci-Fi","Aug 14, 1998",60000000,23385416,48585416
The Covenant,2006,5.3,PG-13,97,"Action, Adventure, Fantasy","Sep 8, 2006",20000000,23364784,38164784
One True Thing,1998,7.0,R,127,Drama,"Sep 18, 1998",30000000,23337196,26708196
Faster,2010,6.4,R,98,"Action, Crime, Drama","Nov 24, 2010",24000000,23240020,35792945
Agent Cody Banks 2: Destination London,2004,4.6,PG,100,"Action, Adventure, Comedy","Mar 12, 2004",26000000,23514247,28703083
Pompeii,2014,5.5,PG-13,105,"Action, Adventure, Drama","Feb 21, 2014",80000000,23169033,108469033
Vicky Cristina Barcelona,2008,7.1,PG-13,96,"Comedy, Drama, Romance","Aug 15, 2008",16000000,23216709,104504817
Monte Carlo,2011,5.8,PG,109,"Adventure, Comedy, Family","Jul 1, 2011",20000000,23186769,39686769
The Iron Giant,1999,8.0,PG,86,"Animation, Action, Adventure","Aug 4, 1999",50000000,23159305,31333917
Match Point,2005,7.6,R,124,"Drama, Romance, Thriller","Dec 28, 2005",15000000,23089926,87973835
Stay Alive,2006,5.1,PG-13,85,"Fantasy, Horror, Mystery","Mar 24, 2006",20000000,23086480,23187506
Sanctum,2011,5.9,R,108,"Action, Adventure, Drama","Feb 4, 2011",30000000,23209310,108957098
Whiskey Tango Foxtrot,2016,6.6,R,112,"Biography, Comedy, Drama","Mar 4, 2016",35000000,23083334,25350747
Fighting,2009,5.6,PG-13,105,"Action, Crime, Drama","Apr 24, 2009",25000000,23091010,32831707
The Players Club,1998,5.9,R,104,"Comedy, Drama","Apr 8, 1998",5000000,23047939,23047939
Transcendence,2014,6.3,PG-13,119,"Action, Drama, Sci-Fi","Apr 18, 2014",100000000,23022309,103039258
Bulletproof Monk,2003,5.5,PG-13,104,"Action, Comedy, Fantasy","Apr 16, 2003",52000000,23010607,26922492
The Long Riders,1980,7.0,R,100,"Biography, Crime, Western","May 16, 1980",10000000,15198912,15198912
The Remains of the Day,1993,7.8,PG,134,"Drama, Romance","Nov 5, 1993",15000000,22954968,63954968
Love Happens,2009,5.7,PG-13,109,"Drama, Romance","Sep 18, 2009",18000000,22965110,36133014
Ella Enchanted,2004,6.3,PG,96,"Comedy, Family, Fantasy","Apr 9, 2004",35000000,22913677,22913677
Revolutionary Road,2008,7.3,R,119,"Drama, Romance","Dec 26, 2008",45000000,22951340,79604820
Rounders,1998,7.3,R,121,"Crime, Drama","Sep 11, 1998",12000000,22921898,22921898
Being John Malkovich,1999,7.7,R,113,"Comedy, Drama, Fantasy","Oct 29, 1999",13000000,22858926,32382381
Beloved,1998,6.0,R,172,"Drama, History, Horror","Oct 16, 1998",53000000,22852487,22852487
On Her Majesty's Secret Service,1969,6.7,PG,142,"Action, Adventure, Thriller","Dec 18, 1969",8000000,22800000,82000000
Joe Somebody,2001,5.5,PG,98,"Comedy, Drama","Dec 21, 2001",38000000,22770864,24515990
The Gallows,2015,4.2,R,81,"Horror, Mystery, Sci-Fi","Jul 9, 2015",100000,22764410,41656474
The Juror,1996,5.7,R,118,"Crime, Drama, Thriller","Feb 2, 1996",44000000,22730924,22730924
Titan A.E.,2000,6.6,PG,94,"Animation, Action, Adventure","Jun 16, 2000",75000000,22751979,36751979
Dickie Roberts: Former Child Star,2003,5.6,PG-13,98,Comedy,"Sep 5, 2003",17000000,22734486,23734486
Quest for Camelot,1998,6.3,G,86,"Animation, Adventure, Comedy","May 15, 1998",40000000,22772500,38172500
Booksmart,2019,7.2,R,102,Comedy,"May 24, 2019",6000000,22680962,24949812
Much Ado About Nothing,1993,7.3,PG-13,111,"Comedy, Drama, Romance","May 7, 1993",8000000,22549338,22549338
Babylon A.D.,2008,5.6,PG-13,90,"Action, Adventure, Sci-Fi","Aug 29, 2008",45000000,22532572,70216497
My Super Ex-Girlfriend,2006,5.1,PG-13,96,"Comedy, Romance, Sci-Fi","Jul 21, 2006",30000000,22530295,60772856
The Incredible Burt Wonderstone,2013,5.9,PG-13,100,Comedy,"Mar 14, 2013",32000000,22537881,27392609
The Black Dahlia,2006,5.6,R,121,"Crime, Drama, Mystery","Sep 15, 2006",60000000,22672813,49238525
Lucky Number Slevin,2006,7.7,R,110,"Crime, Drama, Mystery","Apr 7, 2006",27000000,22495466,55495466
War,2007,6.2,R,103,"Action, Thriller","Aug 24, 2007",25000000,22486409,40686409
