,movie,release_date,release_month,release_day,release_year
14035,Live Aid,1985-07-13,July,Saturday,1985
14036,Ghoulies,1985-03-02,March,Saturday,1985
14037,Fandango,1985-01-25,January,Friday,1985
14038,Perfect,1985-06-07,June,Friday,1985
14039,Love and Pigeons,1985-11-11,November,Monday,1985
14040,King David,1985-03-29,March,Friday,1985
14041,Smooth Talk,1985-11-17,November,Sunday,1985
14042,The Adventures of Mark Twain,1985-03-01,March,Friday,1985
14043,The New Kids,1985-01-18,January,Friday,1985
14044,"So Long, Stooge",1985-02-17,February,Sunday,1985
14045,My Friends Act III,1985-06-06,June,Thursday,1985
14046,Agnes of God,1985-09-27,September,Friday,1985
14047,One Magic Christmas,1985-11-22,November,Friday,1985
14048,My Science Project,1985-08-09,August,Friday,1985
14049,Follow That Bird,1985-08-02,August,Friday,1985
14050,Revolution,1985-12-25,December,Wednesday,1985
14051,Tuff Turf,1985-01-11,January,Friday,1985
14052,Women's Prison Massacre,1985-01-01,January,Tuesday,1985
14053,Death of a Salesman,1985-08-16,August,Friday,1985
14054,Chiller,1985-05-22,May,Wednesday,1985
14055,The Dirty Dozen: Next Mission,1985-02-04,February,Monday,1985
14056,Guinea Pig: Devil's Experiment,1985-09-04,September,Wednesday,1985
14057,The Broken Landlord,1985-01-01,January,Tuesday,1985
14058,Macaroni,1985-11-11,November,Monday,1985
14059,Malibu Express,1985-03-01,March,Friday,1985
14060,He-Man and She-Ra: The Secret of the Sword,1985-03-22,March,Friday,1985
14061,The Protector,1985-08-23,August,Friday,1985
14062,Fear City,1985-02-16,February,Saturday,1985
14063,The Holcroft Covenant,1985-09-20,September,Friday,1985
14064,Rustlers' Rhapsody,1985-05-10,May,Friday,1985
14065,When Father Was Away on Business,1985-10-11,October,Friday,1985
14066,Morons from Outer Space,1985-09-20,September,Friday,1985
14067,Insignificance,1985-08-02,August,Friday,1985
14068,Gwendoline,1985-01-25,January,Friday,1985
14069,The Lift,1985-07-04,July,Thursday,1985
14070,Mata Hari,1985-09-05,September,Thursday,1985
14071,An Impudent Girl,1985-12-20,December,Friday,1985
14072,The Boys Next Door,1985-10-01,October,Tuesday,1985
14073,The Heavenly Kid,1985-07-26,July,Friday,1985
14074,Hold-up,1985-10-25,October,Friday,1985
14075,Fracchia Against Dracula,1985-12-20,December,Friday,1985
14076,Transylvania 6-5000,1985-11-08,November,Friday,1985
14077,Tomboy,1985-11-14,November,Thursday,1985
14078,Superstition,1985-01-02,January,Wednesday,1985
14079,White Nights,1985-11-22,November,Friday,1985
14080,Fraternity Vacation,1985-12-04,December,Wednesday,1985
14081,Maria's Lovers,1985-01-27,January,Sunday,1985
14082,Fast Forward,1985-02-15,February,Friday,1985
14083,Sherman's March,1985-11-13,November,Wednesday,1985
14084,Half a Loaf of Kung Fu,1985-09-10,September,Tuesday,1985
14085,The Trip to Bountiful,1985-12-20,December,Friday,1985
14086,American Flyers,1985-08-16,August,Friday,1985
14087,Police,1985-11-11,November,Monday,1985
14088,Creature,1985-05-08,May,Wednesday,1985
14089,Water,1985-01-01,January,Tuesday,1985
14090,Stick,1985-04-26,April,Friday,1985
14091,Evils of the Night,1985-10-10,October,Thursday,1985
14092,The Mean Season,1985-02-15,February,Friday,1985
14093,Lupin the Third: The Legend of the Gold of Babylon,1985-07-13,July,Saturday,1985
14094,The Bride,1985-08-16,August,Friday,1985
14095,The Slugger's Wife,1985-03-29,March,Friday,1985
14096,Target,1985-11-08,November,Friday,1985
14097,Winter Evening in Gagry,1985-11-11,November,Monday,1985
14098,That's Dancing!,1985-01-01,January,Tuesday,1985
14099,Fool for Love,1985-12-06,December,Friday,1985
14100,Krush Groove,1985-10-25,October,Friday,1985
14101,Chronos,1985-05-10,May,Friday,1985
14102,"Yes, Madam",1985-01-01,January,Tuesday,1985
14103,The Most Charming and Attractive,1985-11-11,November,Monday,1985
14104,The Strangeness,1985-01-01,January,Tuesday,1985
14105,Up Your Anchor,1985-06-06,June,Thursday,1985
14106,Avenging Angel,1985-01-11,January,Friday,1985
14107,Baby: Secret of the Lost Legend,1985-03-22,March,Friday,1985
14108,Maxie,1985-09-27,September,Friday,1985
14109,The Annihilators,1985-01-01,January,Tuesday,1985
14110,Lost in America,1985-03-15,March,Friday,1985
14111,Fortress,1985-11-24,November,Sunday,1985
14112,Too Scared to Scream,1985-01-04,January,Friday,1985
14113,WWE WrestleMania,1985-03-31,March,Sunday,1985
14114,Thirteen at Dinner,1985-09-19,September,Thursday,1985
14115,The Dark Power,1985-06-01,June,Saturday,1985
14116,Loose Screws,1985-08-01,August,Thursday,1985
14117,Moving Violations,1985-04-19,April,Friday,1985
14118,Bad Medicine,1985-11-22,November,Friday,1985
14119,The Shooting Party,1985-09-01,September,Sunday,1985
14120,Tokyo-Ga,1985-04-26,April,Friday,1985
14121,Zone Troopers,1985-10-01,October,Tuesday,1985
14122,Trouble in Mind,1985-12-11,December,Wednesday,1985
14123,A Private Function,1985-03-01,March,Friday,1985
14124,Ninja Terminator,1985-01-01,January,Tuesday,1985
14125,A Jetson Christmas Carol,1985-12-13,December,Friday,1985
14126,Wizards of the Lost Kingdom,1985-10-01,October,Tuesday,1985
14127,Grace Quigley,1985-05-17,May,Friday,1985
14128,Smorgasbord,1985-05-17,May,Friday,1985
14129,Red Heat,1985-05-28,May,Tuesday,1985
14130,28 Up,1985-10-06,October,Sunday,1985
14131,That Was Then... This Is Now,1985-11-08,November,Friday,1985
14132,Blastfighter,1985-10-31,October,Thursday,1985
14133,In Search for Captain Grant,1985-10-10,October,Thursday,1985
14134,Arthur the King,1985-04-26,April,Friday,1985
14135,Compromising Positions,1985-08-30,August,Friday,1985
14136,"Snoopy's Getting Married, Charlie Brown",1985-03-20,March,Wednesday,1985
14137,Perry Mason Returns,1985-12-01,December,Sunday,1985
14138,Seven Minutes in Heaven,1985-05-09,May,Thursday,1985
14139,Plenty,1985-09-20,September,Friday,1985
14140,Depeche Mode: The World We Live in and Live in Hamburg,1985-01-01,January,Tuesday,1985
14141,The Park Is Mine,1985-10-06,October,Sunday,1985
14142,Document of the Dead,1985-06-21,June,Friday,1985
14143,Savage Island,1985-09-01,September,Sunday,1985
14144,Joshua Then and Now,1985-01-01,January,Tuesday,1985
14145,Crime Wave,1985-09-11,September,Wednesday,1985
14146,Before Stonewall,1985-06-27,June,Thursday,1985
14147,She,1985-12-25,December,Wednesday,1985
14148,Black Arrow,1985-10-09,October,Wednesday,1985
14149,Tenement,1985-09-20,September,Friday,1985
14150,School Spirit,1985-10-30,October,Wednesday,1985
14151,The Journey of Natty Gann,1985-09-25,September,Wednesday,1985
14152,Twice in a Lifetime,1985-10-23,October,Wednesday,1985
14153,9 Deaths of the Ninja,1985-04-15,April,Monday,1985
14154,Code Name: Emerald,1985-09-07,September,Saturday,1985
14155,Dangerous Moves,1985-05-24,May,Friday,1985
14156,"Partir, revenir",1985-10-01,October,Tuesday,1985
14157,The Right Side of My Brain,1985-04-09,April,Tuesday,1985
14158,Wheels of Fire,1985-09-01,September,Sunday,1985
14159,The Ambassador,1985-01-11,January,Friday,1985
14160,Top Gun,1986-05-16,May,Friday,1986
14161,Platoon,1986-12-19,December,Friday,1986
14162,The Fly,1986-08-15,August,Friday,1986
14163,Highlander,1986-03-07,March,Friday,1986
14164,Ferris Bueller's Day Off,1986-06-11,June,Wednesday,1986
14165,Raw Deal,1986-06-06,June,Friday,1986
14166,Blue Velvet,1986-09-19,September,Friday,1986
14167,Big Trouble in Little China,1986-05-30,May,Friday,1986
14168,The Mission,1986-09-29,September,Monday,1986
14169,Police Academy 3: Back in Training,1986-03-20,March,Thursday,1986
14170,Labyrinth,1986-06-27,June,Friday,1986
14171,Star Trek IV: The Voyage Home,1986-11-26,November,Wednesday,1986
14172,Critters,1986-04-11,April,Friday,1986
14173,An American Tail,1986-11-21,November,Friday,1986
14174,Crocodile Dundee,1986-09-26,September,Friday,1986
14175,The Karate Kid Part II,1986-06-18,June,Wednesday,1986
14176,Nine 1/2 Weeks,1986-02-21,February,Friday,1986
14177,Legend,1986-04-18,April,Friday,1986
14178,Stand by Me,1986-08-08,August,Friday,1986
14179,¡Three Amigos!,1986-12-12,December,Friday,1986
14180,"No Retreat, No Surrender",1986-05-02,May,Friday,1986
14181,The Name of the Rose,1986-09-24,September,Wednesday,1986
14182,Cobra,1986-05-23,May,Friday,1986
14183,The Great Mouse Detective,1986-07-02,July,Wednesday,1986
14184,Friday the 13th Part VI: Jason Lives,1986-08-01,August,Friday,1986
14185,Betty Blue,1986-04-09,April,Wednesday,1986
14186,Iron Eagle,1986-01-17,January,Friday,1986
14187,The Money Pit,1986-03-15,March,Saturday,1986
14188,Ruthless People,1986-06-26,June,Thursday,1986
14189,Short Circuit,1986-05-09,May,Friday,1986
14190,Flight of the Navigator,1986-07-30,July,Wednesday,1986
14191,Song of the South,1986-11-21,November,Friday,1986
14192,The Texas Chainsaw Massacre 2,1986-08-22,August,Friday,1986
14193,At Close Range,1986-04-18,April,Friday,1986
14194,Dragon Ball: Curse of the Blood Rubies,1986-12-20,December,Saturday,1986
14195,From Beyond,1986-10-24,October,Friday,1986
14196,Hoosiers,1986-11-14,November,Friday,1986
14197,Heartbreak Ridge,1986-12-05,December,Friday,1986
14198,She's Gotta Have It,1986-08-08,August,Friday,1986
14199,F/X,1986-02-07,February,Friday,1986
14200,Jumpin' Jack Flash,1986-10-09,October,Thursday,1986
14201,The Delta Force,1986-02-14,February,Friday,1986
14202,The Transformers: The Movie,1986-08-08,August,Friday,1986
14203,Howard the Duck,1986-08-01,August,Friday,1986
14204,Luxo Jr.,1986-08-17,August,Sunday,1986
14205,Demons,1986-05-30,May,Friday,1986
14206,King Kong Lives,1986-11-21,November,Friday,1986
14207,Anne of Green Gables,1986-02-17,February,Monday,1986
14208,Something Wild,1986-11-07,November,Friday,1986
14209,Hannah and Her Sisters,1986-01-25,January,Saturday,1986
14210,SpaceCamp,1986-06-06,June,Friday,1986
14211,The Color of Money,1986-10-07,October,Tuesday,1986
14212,One Crazy Summer,1986-08-08,August,Friday,1986
14213,A Room with a View,1986-03-07,March,Friday,1986
14214,The Golden Child,1986-12-12,December,Friday,1986
14215,Night of the Creeps,1986-08-21,August,Thursday,1986
14216,Asterix in Britain,1986-12-03,December,Wednesday,1986
14217,Poltergeist II: The Other Side,1986-05-23,May,Friday,1986
14218,The Wraith,1986-11-21,November,Friday,1986
14219,Firewalker,1986-11-21,November,Friday,1986
14220,Down by Law,1986-09-19,September,Friday,1986
14221,Haunted Honeymoon,1986-07-25,July,Friday,1986
14222,Howling II: Stirba - Werewolf Bitch,1986-01-01,January,Wednesday,1986
14223,Back to School,1986-06-13,June,Friday,1986
14224,A Better Tomorrow,1986-08-02,August,Saturday,1986
14225,April Fool's Day,1986-03-28,March,Friday,1986
14226,Fugitives,1986-12-17,December,Wednesday,1986
14227,About Last Night...,1986-07-02,July,Wednesday,1986
14228,Down and Out in Beverly Hills,1986-01-31,January,Friday,1986
14229,Maximum Overdrive,1986-07-25,July,Friday,1986
14230,Pirates,1986-07-18,July,Friday,1986
14231,No Mercy,1986-12-19,December,Friday,1986
14232,Mona Lisa,1986-06-13,June,Friday,1986
14233,Psycho III,1986-07-02,July,Wednesday,1986
14234,Wildcats,1986-02-14,February,Friday,1986
14235,Clockwise,1986-10-10,October,Friday,1986
14236,Little Shop of Horrors,1986-12-19,December,Friday,1986
14237,Invaders from Mars,1986-01-01,January,Wednesday,1986
14238,Henry: Portrait of a Serial Killer,1986-09-24,September,Wednesday,1986
14239,Lucas,1986-03-28,March,Friday,1986
14240,Running Scared,1986-06-27,June,Friday,1986
14241,Armed and Dangerous,1986-08-15,August,Friday,1986
14242,TerrorVision,1986-02-14,February,Friday,1986
14243,Peggy Sue Got Married,1986-10-05,October,Sunday,1986
14244,Gung Ho,1986-03-13,March,Thursday,1986
14245,Department Store,1986-06-06,June,Friday,1986
14246,Tough Guys,1986-10-03,October,Friday,1986
14247,Allan Quatermain and the Lost City of Gold,1986-12-18,December,Thursday,1986
14248,Vamp,1986-07-18,July,Friday,1986
14249,Chopping Mall,1986-03-21,March,Friday,1986
14250,Youngblood,1986-01-31,January,Friday,1986
14251,Matador,1986-03-07,March,Friday,1986
14252,Witchboard,1986-12-31,December,Wednesday,1986
14253,Soul Man,1986-10-24,October,Friday,1986
14254,Black Moon Rising,1986-01-10,January,Friday,1986
14255,Legal Eagles,1986-06-18,June,Wednesday,1986
14256,Troll,1986-01-17,January,Friday,1986
14257,The Time to Live and the Time to Die,1986-09-23,September,Tuesday,1986
14258,Children of a Lesser God,1986-10-03,October,Friday,1986
14259,Murphy's Law,1986-04-18,April,Friday,1986
14260,The Clan of the Cave Bear,1986-01-17,January,Friday,1986
14261,Heartburn,1986-07-25,July,Friday,1986
14262,The Mosquito Coast,1986-11-26,November,Wednesday,1986
14263,Rats: Night of Terror,1986-02-21,February,Friday,1986
14264,Salvador,1986-04-23,April,Wednesday,1986
14265,Ménage,1986-04-23,April,Wednesday,1986
14266,My Little Pony: The Movie,1986-06-06,June,Friday,1986
14267,Class of Nuke 'Em High,1986-12-12,December,Friday,1986
14268,Jocks,1986-11-14,November,Friday,1986
14269,The Seventh Curse,1986-01-01,January,Wednesday,1986
14270,Nothing in Common,1986-07-29,July,Tuesday,1986
14271,The Green Ray,1986-08-29,August,Friday,1986
14272,Quicksilver,1986-02-14,February,Friday,1986
14273,Deadly Friend,1986-10-10,October,Friday,1986
14274,The Manhattan Project,1986-06-13,June,Friday,1986
14275,8 Million Ways to Die,1986-04-25,April,Friday,1986
14276,The Children of Noisy Village,1986-12-20,December,Saturday,1986
14277,Wisdom,1986-12-31,December,Wednesday,1986
14278,Three Men and a Cradle,1986-04-25,April,Friday,1986
14279,Trick or Treat,1986-10-24,October,Friday,1986
14280,52 Pick-Up,1986-11-07,November,Friday,1986
14281,The Parent Trap II,1986-07-26,July,Saturday,1986
14282,The Best of Times,1986-01-31,January,Friday,1986
14283,The Boy Who Could Fly,1986-08-15,August,Friday,1986
14284,Crossroads,1986-03-14,March,Friday,1986
14285,Band of the Hand,1986-04-11,April,Friday,1986
14286,Live at Wembley Stadium,1986-07-12,July,Saturday,1986
14287,The Boy in Blue,1986-01-17,January,Friday,1986
14288,The Flight of Dragons,1986-08-03,August,Sunday,1986
14289,Eliminators,1986-01-31,January,Friday,1986
14290,No End,1986-09-30,September,Tuesday,1986
14291,Meatballs III: Summer Job,1986-10-27,October,Monday,1986
14292,A Man and a Woman: 20 Years Later,1986-11-11,November,Tuesday,1986
14293,Fair Game,1986-11-30,November,Sunday,1986
14294,Bugs Bunny/Looney Tunes All-Star 50th Anniversary,1986-01-14,January,Tuesday,1986
14295,Lady Jane,1986-02-07,February,Friday,1986
14296,Thrashin',1986-08-29,August,Friday,1986
14297,Mala Noche,1986-02-05,February,Wednesday,1986
14298,Captain EO,1986-01-01,January,Wednesday,1986
14299,The Decline of the American Empire,1986-06-19,June,Thursday,1986
14300,Underworld,1986-04-17,April,Thursday,1986
14301,7 Kilos in 7 Days,1986-02-02,February,Sunday,1986
14302,Hamburger: The Motion Picture,1986-05-05,May,Monday,1986
14303,Under the Cherry Moon,1986-07-02,July,Wednesday,1986
14304,Tai-Pan,1986-11-07,November,Friday,1986
14305,Absolute Beginners,1986-01-01,January,Wednesday,1986
14306,Caravaggio,1986-08-29,August,Friday,1986
14307,Aladdin,1986-01-01,January,Wednesday,1986
14308,Crimewave,1986-04-25,April,Friday,1986
14309,Slaughter High,1986-11-14,November,Friday,1986
14310,Dead End Drive-In,1986-08-13,August,Wednesday,1986
14311,Monster Hunter,1986-10-08,October,Wednesday,1986
14312,Sorority House Massacre,1986-10-01,October,Wednesday,1986
14313,Martial Arts of Shaolin,1986-03-01,March,Saturday,1986
14314,Care Bears Movie II: A New Generation,1986-03-21,March,Friday,1986
14315,George Carlin: Playin' with Your Head,1986-06-14,June,Saturday,1986
14316,The Worst Witch,1986-11-01,November,Saturday,1986
14317,Defence of the Realm,1986-09-06,September,Saturday,1986
14318,A Fine Mess,1986-08-08,August,Friday,1986
14319,Spookies,1986-05-14,May,Wednesday,1986
14320,Solarbabies,1986-11-26,November,Wednesday,1986
14321,Reform School Girls,1986-08-22,August,Friday,1986
14322,Dead Man's Folly,1986-01-08,January,Wednesday,1986
14323,Nomads,1986-03-07,March,Friday,1986
14324,Ginger and Fred,1986-01-01,January,Wednesday,1986
14325,Armed Response,1986-10-01,October,Wednesday,1986
14326,Act of Vengeance,1986-04-21,April,Monday,1986
14327,Garfield In Paradise,1986-05-27,May,Tuesday,1986
14328,Vicious Lips,1986-01-01,January,Wednesday,1986
14329,Beverly Hills Madam,1986-04-06,April,Sunday,1986
14330,Peking Opera Blues,1986-09-06,September,Saturday,1986
14331,’Round Midnight,1986-10-03,October,Friday,1986
14332,Scream for Help,1986-10-01,October,Wednesday,1986
14333,Sweet Liberty,1986-05-14,May,Wednesday,1986
14334,True Stories,1986-10-10,October,Friday,1986
14335,Crawlspace,1986-05-21,May,Wednesday,1986
14336,America 3000,1986-04-08,April,Tuesday,1986
14337,Extremities,1986-08-22,August,Friday,1986
14338,Every Time We Say Goodbye,1986-11-14,November,Friday,1986
14339,Power,1986-01-31,January,Friday,1986
14340,Club Paradise,1986-07-11,July,Friday,1986
14341,Slow Burn,1986-01-01,January,Wednesday,1986
14342,Murder in Three Acts,1986-09-30,September,Tuesday,1986
14343,The Brotherhood of Justice,1986-05-18,May,Sunday,1986
14344,Cut and Run,1986-05-02,May,Friday,1986
14345,Neon Maniacs,1986-11-14,November,Friday,1986
14346,Rad,1986-03-21,March,Friday,1986
14347,Stagecoach,1986-05-18,May,Sunday,1986
14348,The Canterville Ghost,1986-12-31,December,Wednesday,1986
14349,Trial on the Road,1986-10-01,October,Wednesday,1986
14350,Night Music,1986-01-01,January,Wednesday,1986
14351,Body Count,1986-10-28,October,Tuesday,1986
14352,Meantime,1986-07-23,July,Wednesday,1986
14353,Wise Guys,1986-04-17,April,Thursday,1986
14354,Crimes of the Heart,1986-12-12,December,Friday,1986
14355,Desiring Julia,1986-09-09,September,Tuesday,1986
14356,Shanghai Surprise,1986-08-29,August,Friday,1986
14357,Dangerously Close,1986-05-09,May,Friday,1986
14358,Body Slam,1986-11-21,November,Friday,1986
14359,Desert Bloom,1986-01-22,January,Wednesday,1986
14360,Link,1986-03-19,March,Wednesday,1986
14361,Half Moon Street,1986-09-26,September,Friday,1986
14362,Brighton Beach Memoirs,1986-12-26,December,Friday,1986
14363,Nutcracker: The Motion Picture,1986-11-26,November,Wednesday,1986
14364,Opposing Force,1986-08-01,August,Friday,1986
14365,WWE WrestleMania II,1986-04-07,April,Monday,1986
14366,The Malibu Bikini Shop,1986-11-01,November,Saturday,1986
14367,Jake Speed,1986-05-30,May,Friday,1986
14368,Resting Place,1986-01-01,January,Wednesday,1986
14369,"Jo Jo Dancer, Your Life Is Calling",1986-05-02,May,Friday,1986
14370,The Morning After,1986-12-25,December,Thursday,1986
14371,The Horse Thief,1986-01-01,January,Wednesday,1986
14372,"Happy New Year, Charlie Brown",1986-01-01,January,Wednesday,1986
14373,Sunday in the Park with George,1986-06-16,June,Monday,1986
14374,Radioactive Dreams,1986-09-19,September,Friday,1986
14375,Hunter's Blood,1986-01-01,January,Wednesday,1986
14376,Parting Glances,1986-01-01,January,Wednesday,1986
14377,3:15,1986-01-31,January,Friday,1986
14378,Malcolm,1986-04-01,April,Tuesday,1986
14379,Perry Mason: The Case of the Shooting Star,1986-11-08,November,Saturday,1986
14380,Hands of Steel,1986-08-29,August,Friday,1986
14381,Combat Academy,1986-11-23,November,Sunday,1986
14382,The Tomb,1986-10-31,October,Friday,1986
14383,Robin Williams: Live at the Met,1986-08-09,August,Saturday,1986
14384,Momo,1986-07-17,July,Thursday,1986
14385,A Smoky Mountain Christmas,1986-12-14,December,Sunday,1986
14386,The Corruption,1986-07-07,July,Monday,1986
14387,Never Too Young to Die,1986-06-13,June,Friday,1986
14388,Courier,1986-11-11,November,Tuesday,1986
14389,Nobody's Fool,1986-11-07,November,Friday,1986
14390,The Whoopee Boys,1986-08-22,August,Friday,1986
14391,Turtle Diary,1986-02-14,February,Friday,1986
14392,He Stands in a Desert Counting the Seconds of His Life,1986-02-22,February,Saturday,1986
14393,Frog Dreaming,1986-05-01,May,Thursday,1986
14394,Valhalla,1986-05-12,May,Monday,1986
14395,Star Crystal,1986-03-01,March,Saturday,1986
14396,Native Son,1986-12-24,December,Wednesday,1986
14397,Stewardess School,1986-08-01,August,Friday,1986
14398,Young Again,1986-05-11,May,Sunday,1986
14399,American Anthem,1986-06-27,June,Friday,1986
14400,Predator,1987-06-12,June,Friday,1987
14401,Full Metal Jacket,1987-06-26,June,Friday,1987
14402,RoboCop,1987-07-17,July,Friday,1987
14403,The Living Daylights,1987-06-29,June,Monday,1987
14404,Beverly Hills Cop II,1987-05-18,May,Monday,1987
14405,The Princess Bride,1987-09-25,September,Friday,1987
14406,Lethal Weapon,1987-03-06,March,Friday,1987
14407,Come and See,1987-02-06,February,Friday,1987
14408,Spaceballs,1987-06-24,June,Wednesday,1987
14409,Evil Dead II,1987-03-13,March,Friday,1987
14410,Police Academy 4: Citizens on Patrol,1987-04-02,April,Thursday,1987
14411,Fatal Attraction,1987-09-11,September,Friday,1987
14412,The Brave Little Toaster,1987-07-09,July,Thursday,1987
14413,Throw Momma from the Train,1987-12-11,December,Friday,1987
14414,Hellraiser,1987-09-18,September,Friday,1987
14415,Raising Arizona,1987-03-01,March,Sunday,1987
14416,Innerspace,1987-06-30,June,Tuesday,1987
14417,The Running Man,1987-11-13,November,Friday,1987
14418,Prince of Darkness,1987-10-23,October,Friday,1987
14419,Adventures in Babysitting,1987-07-01,July,Wednesday,1987
14420,"Planes, Trains and Automobiles",1987-11-26,November,Thursday,1987
14421,Superman IV: The Quest for Peace,1987-07-24,July,Friday,1987
14422,The Lost Boys,1987-07-31,July,Friday,1987
14423,Over the Top,1987-02-13,February,Friday,1987
14424,Overboard,1987-12-16,December,Wednesday,1987
14425,Mannequin,1987-02-13,February,Friday,1987
14426,Jaws: The Revenge,1987-07-17,July,Friday,1987
14427,Empire of the Sun,1987-12-09,December,Wednesday,1987
14428,American Ninja 2: The Confrontation,1987-05-01,May,Friday,1987
14429,The Witches of Eastwick,1987-06-12,June,Friday,1987
14430,Dragnet,1987-06-25,June,Thursday,1987
14431,Project A: Part II,1987-10-01,October,Thursday,1987
14432,Hope and Glory,1987-11-01,November,Sunday,1987
14433,Blind Date,1987-03-27,March,Friday,1987
14434,Harry and the Hendersons,1987-06-05,June,Friday,1987
14435,Summer School,1987-07-22,July,Wednesday,1987
14436,Creepshow 2,1987-05-01,May,Friday,1987
14437,Maurice,1987-09-18,September,Friday,1987
14438,3 Men and a Baby,1987-11-27,November,Friday,1987
14439,Masters of the Universe,1987-08-07,August,Friday,1987
14440,Stakeout,1987-08-05,August,Wednesday,1987
14441,Death Wish 4: The Crackdown,1987-11-06,November,Friday,1987
14442,The Monster Squad,1987-08-14,August,Friday,1987
14443,Revenge of the Nerds II: Nerds in Paradise,1987-07-10,July,Friday,1987
14444,Barfly,1987-09-02,September,Wednesday,1987
14445,Roxanne,1987-06-19,June,Friday,1987
14446,House II: The Second Story,1987-08-28,August,Friday,1987
14447,*batteries not included,1987-12-18,December,Friday,1987
14448,Pelle the Conqueror,1987-12-25,December,Friday,1987
14449,Wall Street,1987-12-10,December,Thursday,1987
14450,Demons 2,1987-02-13,February,Friday,1987
14451,Broadcast News,1987-12-16,December,Wednesday,1987
14452,Red's Dream,1987-08-17,August,Monday,1987
14453,Ironweed,1987-12-18,December,Friday,1987
14454,Can't Buy Me Love,1987-08-14,August,Friday,1987
14455,Angel Heart,1987-03-06,March,Friday,1987
14456,The Believers,1987-06-09,June,Tuesday,1987
14457,Suspect,1987-10-23,October,Friday,1987
14458,Moonstruck,1987-12-01,December,Tuesday,1987
14459,Anne of Green Gables: The Sequel,1987-05-19,May,Tuesday,1987
14460,Radio Days,1987-01-30,January,Friday,1987
14461,Baby Boom,1987-10-07,October,Wednesday,1987
14462,Hello Mary Lou: Prom Night II,1987-10-16,October,Friday,1987
14463,Near Dark,1987-10-02,October,Friday,1987
14464,A Better Tomorrow II,1987-12-17,December,Thursday,1987
14465,Amazon Women on the Moon,1987-09-18,September,Friday,1987
14466,Who's That Girl,1987-08-07,August,Friday,1987
14467,Manon of the Spring,1987-12-04,December,Friday,1987
14468,Three O'Clock High,1987-10-09,October,Friday,1987
14469,A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,February,Friday,1987
14470,Hamburger Hill,1987-08-23,August,Sunday,1987
14471,No Way Out,1987-08-14,August,Friday,1987
14472,Blood Rage,1987-06-01,June,Monday,1987
14473,Black Widow,1987-02-06,February,Friday,1987
14474,The Hidden,1987-10-30,October,Friday,1987
14475,Ernest Goes to Camp,1987-05-22,May,Friday,1987
14476,La Bamba,1987-07-24,July,Friday,1987
14477,Street Trash,1987-09-16,September,Wednesday,1987
14478,"Good Morning, Vietnam",1987-12-23,December,Wednesday,1987
14479,Dragon Ball: Sleeping Princess in Devil's Castle,1987-07-18,July,Saturday,1987
14480,The Principal,1987-09-18,September,Friday,1987
14481,The Fourth Protocol,1987-08-28,August,Friday,1987
14482,Escape from Sobibor,1987-04-12,April,Sunday,1987
14483,Some Kind of Wonderful,1987-02-27,February,Friday,1987
14484,The Secret of My Success,1987-04-10,April,Friday,1987
14485,The Family,1987-01-01,January,Thursday,1987
14486,Jean de Florette,1987-08-27,August,Thursday,1987
14487,Less than Zero,1987-11-06,November,Friday,1987
14488,Extreme Prejudice,1987-04-24,April,Friday,1987
14489,Nadine,1987-08-07,August,Friday,1987
14490,"Silent Night, Deadly Night Part 2",1987-04-10,April,Friday,1987
14491,StageFright: Aquarius,1987-02-08,February,Sunday,1987
14492,River's Edge,1987-05-08,May,Friday,1987
14493,Wanted: Dead or Alive,1987-01-16,January,Friday,1987
14494,The Big Easy,1987-08-21,August,Friday,1987
14495,Law of Desire,1987-02-06,February,Friday,1987
14496,Scooby-Doo Meets the Boo Brothers,1987-10-18,October,Sunday,1987
14497,Gardens of Stone,1987-05-05,May,Tuesday,1987
14498,Cry Freedom,1987-11-05,November,Thursday,1987
14499,Made in Heaven,1987-11-06,November,Friday,1987
14500,The Gate,1987-05-15,May,Friday,1987
14501,Someone to Watch Over Me,1987-10-09,October,Friday,1987
14502,Return to Horror High,1987-01-28,January,Wednesday,1987
14503,Dead of Winter,1987-02-06,February,Friday,1987
14504,The Pick-up Artist,1987-09-18,September,Friday,1987
14505,The Stepfather,1987-01-23,January,Friday,1987
14506,My Life as a Dog,1987-05-01,May,Friday,1987
14507,House of Games,1987-10-11,October,Sunday,1987
14508,Firefighters 2: Heroic Mission,1987-06-06,June,Saturday,1987
14509,City on Fire,1987-02-13,February,Friday,1987
14510,Real Men,1987-09-25,September,Friday,1987
14511,Like Father Like Son,1987-10-02,October,Friday,1987
14512,84 Charing Cross Road,1987-02-13,February,Friday,1987
14513,Born in East L.A.,1987-08-21,August,Friday,1987
14514,Hard Ticket to Hawaii,1987-03-01,March,Sunday,1987
14515,Tin Men,1987-03-06,March,Friday,1987
14516,Best Seller,1987-09-25,September,Friday,1987
14517,Hollywood Shuffle,1987-03-20,March,Friday,1987
14518,A Muppet Family Christmas,1987-12-16,December,Wednesday,1987
14519,The Chipmunk Adventure,1987-05-22,May,Friday,1987
14520,Castaway,1987-09-11,September,Friday,1987
14521,September,1987-12-18,December,Friday,1987
14522,Teen Wolf Too,1987-11-20,November,Friday,1987
14523,The Jetsons Meet the Flintstones,1987-01-01,January,Thursday,1987
14524,They Call Me Renegade,1987-11-13,November,Friday,1987
14525,Flowers in the Attic,1987-11-20,November,Friday,1987
