,film_name,film_year,awards_won,awards_nominated,win_rate
1243,Thursday's Children,1954,1,1,1.0
1244,The Time Machine,1960,1,1,1.0
1245,A Time Out of War,1954,1,1,1.0
1246,Tin Pan Alley,1940,1,1,1.0
1247,The Titan: Story of Michelangelo,1950,1,1,1.0
1248,Titanic,1953,1,2,0.5
1249,To Catch a Thief,1955,1,3,0.333
1250,To Each His Own,1946,1,2,0.5
1251,To Kill a Mockingbird,1962,3,8,0.375
1252,Tom Jones,1963,4,10,0.4
1253,tom thumb,1958,1,1,1.0
1254,"Toot, Whistle, Plunk and Boom",1953,1,1,1.0
1255,Topkapi,1964,1,1,1.0
1256,The Tortoise and the Hare,1934,1,1,1.0
1257,Torture Money,1937,1,1,1.0
1258,Toward Independence,1948,1,1,1.0
1259,Transatlantic,1931,1,1,1.0
1260,The Treasure of the Sierra Madre,1948,3,4,0.75
1261,A Tree Grows in Brooklyn,1945,1,2,0.5
1262,The True Glory,1945,1,1,1.0
1263,The True Story of the Civil War,1956,1,1,1.0
1264,Tweetie Pie,1947,1,1,1.0
1265,Twelve O'Clock High,1949,2,4,0.5
1266,Two Arabian Knights,1927,1,1,1.0
1267,The Two Mouseketeers,1951,1,1,1.0
1268,Two Women (La Ciociara),1961,1,1,1.0
1269,The Ugly Duckling,1939,1,1,1.0
1270,Underworld,1927,1,1,1.0
1271,The V.I.P.s,1963,1,1,1.0
1272,Vacation from Marriage (UK title Perfect Strangers),1946,1,1,1.0
1273,Van Gogh,1949,1,1,1.0
1274,The Vanishing Prairie,1954,1,1,1.0
1275,The Virgin Spring (Jungfrukällan),1960,1,2,0.5
1276,Viva Villa!,1934,1,4,0.25
1277,Viva Zapata!,1952,1,5,0.2
1278,Waikiki Wedding,1937,1,2,0.5
1279,The Walls of Malapaga,1950,0,0,
1280,The War of the Worlds,1953,1,3,0.333
1281,Watch on the Rhine,1943,1,4,0.25
1282,Water Birds,1952,1,1,1.0
1283,The Way of All Flesh,1927,1,1,1.0
1284,West Side Story,1961,10,11,0.909
1285,The Westerner,1940,1,3,0.333
1286,The Wetback Hound,1957,1,1,1.0
1287,What Ever Happened to Baby Jane?,1962,1,5,0.2
1288,When Tomorrow Comes,1939,1,1,1.0
1289,When Magoo Flew,1954,1,1,1.0
1290,When Worlds Collide,1951,1,2,0.5
1291,White Shadows in the South Seas,1928,1,1,1.0
1292,White Wilderness,1958,1,2,0.5
1293,Who's Who in Animal Land,1944,1,1,1.0
1294,Why Korea?,1950,1,1,1.0
1295,Wilson,1944,5,10,0.5
1296,Wings,1927,2,2,1.0
1297,Wings Over Everest,1935,1,1,1.0
1298,With a Song in My Heart,1952,1,5,0.2
1299,With Byrd at the South Pole,1929,1,1,1.0
1300,With the Marines at Tarawa,1944,1,1,1.0
1301,The Wizard of Oz,1939,2,6,0.333
1302,Woman of the Year,1942,1,2,0.5
1303,Wonder Man,1945,1,4,0.25
1304,The Wonderful World of the Brothers Grimm,1962,1,4,0.25
1305,World of Kids,1951,1,1,1.0
1306,World Without Sun (Le Monde sans soleil),1964,1,1,1.0
1307,Wrestling Swordfish,1931,1,1,1.0
1308,Written on the Wind,1956,1,3,0.333
1309,Wuthering Heights,1939,1,8,0.125
1310,Yankee Doodle Dandy,1942,3,8,0.375
1311,The Yankee Doodle Mouse,1943,1,1,1.0
1312,The Yearling,1946,2,7,0.286
1313,"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",1964,1,1,1.0
1314,You Can't Take It with You,1938,2,7,0.286
1315,Zorba the Greek (Alexis Zorbas),1964,3,7,0.429
