,title,max_theaters,year,total_dom_gross($),studio
957,Year One,3024,2009,43337279,Sony
958,The Tuxedo,3022,2002,50547998,DreamWorks Distribution
959,Keeping Up with the Joneses,3022,2016,14904426,Twentieth Century Fox
960,World Trade Center,3021,2006,70278893,Paramount Pictures
961,What to Expect When You're Expecting,3021,2012,41152203,Lionsgate
962,Dodgeball,3020,2004,114326736,Twentieth Century Fox
963,"Crazy, Stupid, Love",3020,2011,84351197,Warner Bros.
964,Strange Magic,3020,2015,12429583,Disney
965,The Core,3019,2003,31186896,Paramount Pictures
966,Rocky Balboa,3019,2006,70270943,Metro-Goldwyn-Mayer (MGM)
967,Million Dollar Arm,3019,2014,36457627,Disney
968,Night School,3019,2018,77339130,Universal Pictures
969,Secret Window,3018,2004,48022900,Sony
970,Moneyball,3018,2011,75605492,Sony
971,12 Strong,3018,2018,45819713,Warner Bros.
972,The Departed,3017,2006,132384315,Warner Bros.
973,Fun Size,3016,2012,9409538,Paramount Pictures
974,RED 2,3016,2013,53262560,Lionsgate
975,Blue Crush,3015,2002,40390647,Universal Pictures
976,Conan the Barbarian,3015,2011,21295021,Lionsgate
977,The Help,3014,2011,169708112,Disney
978,The Dictator,3014,2012,59650222,Paramount Pictures
979,Here Comes the Boom,3014,2012,45290318,Sony
980,Underdog,3013,2007,43760605,Disney
981,Mission: Impossible,3012,1996,180981856,Paramount Pictures
982,The Wild Thornberrys,3012,2002,40108697,Paramount Pictures
983,The Love Guru,3012,2008,32235793,Paramount Pictures
984,Meet Dave,3011,2008,11803254,Twentieth Century Fox
985,Imagine That,3011,2009,16123323,Paramount Pictures
986,What's Your Number?,3011,2011,14011084,Twentieth Century Fox
987,Warm Bodies,3009,2013,66380662,Lionsgate
988,Everest,3009,2015,43482270,Universal Pictures
989,Funny People,3008,2009,51855045,Universal Pictures
990,Mike and Dave Need Wedding Dates,3008,2016,46009673,Twentieth Century Fox
991,Why Him?,3008,2017,60323786,Twentieth Century Fox
992,E.T. the Extra-Terrestrial,3007,2002,35306015,Universal Pictures
993,Stuck on You,3007,2003,33832741,Twentieth Century Fox
994,New York Minute,3006,2004,14071441,Warner Bros.
995,Constantine,3006,2005,75976178,Warner Bros.
996,The 40-Year-Old Virgin,3006,2005,109449237,Universal Pictures
997,3:10 to Yuma,3006,2007,53606916,Lionsgate
998,Hide and Seek,3005,2005,51100486,Twentieth Century Fox
999,Frankenweenie,3005,2012,35291068,Disney
